Timestamp,Value
114693,0.109
114758,0.10400000000000001
114759,0.108
114760,0.117
114761,0.127
114762,0.131
114763,0.132
114764,0.132
114765,0.133
114766,0.132
114767,0.132
114768,0.136
114769,0.14100000000000001
114770,0.14100000000000001
114771,0.136
114772,0.129
114773,0.125
114838,0.11900000000000001
114839,0.114
114840,0.107
114841,0.10200000000000001
114842,0.096
114843,0.08700000000000001
114844,0.077
114845,0.067
114846,0.058
114847,0.05
114848,0.044
114849,0.037
114850,0.031
114851,0.029
114852,0.027
114853,0.026000000000000002
114918,0.021
114919,0.019
114920,0.019
114921,0.014
114922,0.004
114923,-0.008
114924,-0.014
114925,-0.015
114926,-0.013000000000000001
114927,-0.008
114928,-0.008
114929,-0.015
114930,-0.018000000000000002
114931,-0.015
114932,-0.01
114933,-0.011
114998,-0.016
114999,-0.016
115000,-0.011
115001,-0.01
115002,-0.014
115003,-0.017
115004,-0.016
115005,-0.014
115006,-0.014
115007,-0.012
115008,-0.012
115009,-0.018000000000000002
115010,-0.027
115011,-0.029
115012,-0.028
115013,-0.029
115078,-0.033
115079,-0.035
115080,-0.039
115081,-0.042
115082,-0.046
115083,-0.047
115084,-0.045
115085,-0.048
115086,-0.056
115087,-0.061
115088,-0.06
115089,-0.055
115090,-0.053
115091,-0.053
115092,-0.056
115093,-0.06
115158,-0.065
115159,-0.066
115160,-0.061
115161,-0.057
115162,-0.057
115163,-0.058
115164,-0.058
115165,-0.058
115166,-0.06
115167,-0.057
115168,-0.054
115169,-0.057
115170,-0.064
115171,-0.065
115172,-0.059000000000000004
115173,-0.055
115238,-0.055
115239,-0.053
115240,-0.052000000000000005
115241,-0.057
115242,-0.064
115243,-0.062
115244,-0.052000000000000005
115245,-0.047
115246,-0.048
115247,-0.049
115248,-0.047
115249,-0.046
115250,-0.051000000000000004
115251,-0.053
115252,-0.053
115253,-0.052000000000000005
115318,-0.053
115319,-0.05
115320,-0.045
115321,-0.039
115322,-0.041
115323,-0.045
115324,-0.047
115325,-0.047
115326,-0.047
115327,-0.047
115328,-0.042
115329,-0.034
115330,-0.026000000000000002
115331,-0.013000000000000001
115332,0.003
115333,0.013000000000000001
115398,0.012
115399,0.006
